hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
cambridge,0,1,0.018120,0.662850,convex,0.000000,0,0.000000
cambridge,0,2,0.018120,0.666600,convex,0.000000,1,0.000000
cambridge,0,3,0.018120,0.745360,convex,0.000000,2,0.000000
cambridge,0,4,0.018120,0.745500,convex,1.000000,3,0.000000
cambridge,0,5,0.018120,0.749660,convex,11.000000,4,0.000000
cambridge,0,6,0.018120,0.749660,convex,1127.000000,5,0.000000
cambridge,1,1,0.020120,0.549550,convex,0.000000,6,0.000000
cambridge,1,2,0.020120,0.555000,convex,0.000000,7,0.000000
cambridge,1,3,0.020120,0.573130,convex,0.000000,8,0.000000
cambridge,1,4,0.020120,0.581170,convex,1.000000,9,0.000000
cambridge,1,5,0.020120,0.589950,convex,10.000000,10,0.000000
cambridge,1,6,0.020120,0.599850,convex,56.000000,11,0.000000
hanoi,0,1,0.030410,0.665440,convex,0.000000,12,0.000000
hanoi,0,2,0.030410,0.666660,convex,0.000000,13,0.000000
hanoi,0,3,0.030410,0.748550,convex,0.000000,14,0.000000
hanoi,0,4,0.030410,0.748560,convex,1.000000,15,0.000000
hanoi,0,5,0.030410,0.749930,convex,11.000000,16,0.000000
hanoi,0,6,0.030410,0.749930,convex,2734.000000,17,0.000000
hanoi,1,1,0.032290,0.646820,convex,0.000000,18,0.000000
hanoi,1,2,0.032290,0.664790,convex,0.000000,19,0.000000
hanoi,1,3,0.032290,0.722700,convex,0.000000,20,0.000000
hanoi,1,4,0.032290,0.725850,convex,1.000000,21,0.000000
hanoi,1,5,0.032290,0.743550,convex,10.000000,22,0.000000
hanoi,1,6,0.032290,0.743720,convex,183.000000,23,0.000000
jakarta,0,1,0.020310,0.663070,convex,0.000000,24,0.000000
jakarta,0,2,0.020310,0.666610,convex,0.000000,25,0.000000
jakarta,0,3,0.020310,0.745680,convex,0.000000,26,0.000000
jakarta,0,4,0.020310,0.745810,convex,1.000000,27,0.000000
jakarta,0,5,0.020310,0.749730,convex,11.000000,28,0.000000
jakarta,0,6,0.020310,0.749730,convex,1182.000000,5,0.000000
jakarta,1,1,0.023470,0.653860,convex,0.000000,29,0.000000
jakarta,1,2,0.023470,0.665900,convex,0.000000,30,0.000000
jakarta,1,3,0.023470,0.733250,convex,0.000000,31,0.000000
jakarta,1,4,0.023470,0.734690,convex,2.000000,32,0.000000
jakarta,1,5,0.023470,0.747300,convex,12.000000,33,0.000000
jakarta,1,6,0.023470,0.747340,convex,722.000000,34,0.000000
ourense,0,1,0.020010,0.663250,convex,0.000000,35,0.000000
ourense,0,2,0.020010,0.666610,convex,0.000000,36,0.000000
ourense,0,3,0.020010,0.745900,convex,0.000000,37,0.000000
ourense,0,4,0.020010,0.746020,convex,2.000000,38,0.000000
ourense,0,5,0.020010,0.749740,convex,12.000000,28,0.000000
ourense,0,6,0.020010,0.749740,convex,1678.000000,5,0.000000
ourense,1,1,0.022270,0.654070,convex,0.000000,39,0.000000
ourense,1,2,0.022270,0.665930,convex,0.000000,40,0.000000
ourense,1,3,0.022270,0.733530,convex,0.000000,41,0.000000
ourense,1,4,0.022270,0.734930,convex,2.000000,42,0.000000
ourense,1,5,0.022270,0.747360,convex,11.000000,33,0.000000
ourense,1,6,0.022270,0.747400,convex,879.000000,43,0.000000
washington,0,1,0.094060,0.575260,convex,0.000000,44,0.000000
washington,0,2,0.094060,0.588600,convex,0.000000,45,0.000000
washington,0,3,0.094060,0.608170,convex,0.000000,46,0.000000
washington,0,4,0.094060,0.627340,convex,2.000000,47,0.000000
washington,0,5,0.094060,0.638820,convex,11.000000,48,0.000000
washington,0,6,0.094060,0.648880,convex,56.000000,49,0.000000
washington,1,1,0.105940,0.666040,convex,0.000000,50,0.000000
washington,1,2,0.105940,0.666660,convex,0.000000,51,0.000000
washington,1,3,0.105940,0.749230,convex,0.000000,52,0.000000
washington,1,4,0.105940,0.749230,convex,2.000000,53,0.000000
washington,1,5,0.105940,0.749930,convex,12.000000,16,0.000000
washington,1,6,0.105940,0.749930,convex,4365.000000,17,0.000000
yorktown,0,1,0.019390,0.660400,convex,0.000000,54,0.000000
yorktown,0,2,0.019390,0.666490,convex,0.000000,55,0.000000
yorktown,0,3,0.019390,0.742240,convex,0.000000,56,0.000000
yorktown,0,4,0.019390,0.742620,convex,1.000000,57,0.000000
yorktown,0,5,0.019390,0.749280,convex,10.000000,58,0.000000
yorktown,0,6,0.019390,0.749290,convex,1089.000000,59,0.000000
yorktown,1,1,0.020720,0.585990,convex,0.000000,60,0.000000
yorktown,1,2,0.020720,0.603850,convex,0.000000,61,0.000000
yorktown,1,3,0.020720,0.621570,convex,0.000000,62,0.000000
yorktown,1,4,0.020720,0.644370,convex,1.000000,63,0.000000
yorktown,1,5,0.020720,0.658480,convex,9.000000,64,0.000000
yorktown,1,6,0.020720,0.666950,convex,51.000000,65,0.000000
